user_id,name,age,gender,location,income,employment_status,education_level,disability_status,user_preferences
U1,User1,47,Female,West Bengal,480800.63,Employed,Primary,TRUE,Health
U2,User2,20,LGBTQ+,Maharashtra,91767.59,Unemployed,Secondary,FALSE,Study
U3,User3,55,LGBTQ+,Tamil Nadu,374598.68,Unemployed,Secondary,FALSE,Study
U4,User4,47,Male,West Bengal,433570.99,Unemployed,Primary,FALSE,Study
U5,User5,26,Male,West Bengal,89029.61,Employed,Graduate,TRUE,Study
U6,User6,50,LGBTQ+,Rajasthan,289797.14,Unemployed,Postgraduate,TRUE,Employment
U7,User7,29,Female,Uttar Pradesh,343044.72,Unemployed,Graduate,FALSE,Employment
U8,User8,58,Female,Tamil Nadu,215368.65,Unemployed,Graduate,TRUE,Health
U9,User9,47,Female,West Bengal,324796.54,Unemployed,Graduate,TRUE,Health
U10,User10,26,LGBTQ+,Maharashtra,289628.12,Unemployed,Postgraduate,TRUE,Study
U11,User11,41,LGBTQ+,Maharashtra,212340.37,Unemployed,Graduate,TRUE,Employment
U12,User12,46,LGBTQ+,West Bengal,464535.47,Employed,Graduate,TRUE,Employment
U13,User13,36,Male,Maharashtra,416477.28,Unemployed,Primary,FALSE,Employment
U14,User14,26,Male,Maharashtra,93568.6,Unemployed,Primary,TRUE,Employment
U15,User15,34,Male,Maharashtra,320749.02,Employed,Secondary,FALSE,Study
U16,User16,19,LGBTQ+,Tamil Nadu,86600.25,Unemployed,Primary,FALSE,Employment
U17,User17,46,LGBTQ+,Tamil Nadu,81252.18,Unemployed,Primary,TRUE,Health
U18,User18,31,Male,Tamil Nadu,333423.99,Unemployed,Postgraduate,FALSE,Employment
U19,User19,57,LGBTQ+,West Bengal,409281.17,Unemployed,Secondary,TRUE,Study
U20,User20,28,Female,West Bengal,203539.58,Unemployed,Graduate,TRUE,Employment
U21,User21,59,Female,Maharashtra,116100.95,Unemployed,Graduate,TRUE,Employment
U22,User22,39,LGBTQ+,Rajasthan,252236.86,Employed,Graduate,TRUE,Study
U23,User23,28,Female,West Bengal,312136.42,Unemployed,Graduate,FALSE,Study
U24,User24,45,Male,Uttar Pradesh,193966.62,Employed,Secondary,FALSE,Employment
U25,User25,39,Male,Uttar Pradesh,215667.7,Employed,Postgraduate,TRUE,Employment
U26,User26,54,LGBTQ+,West Bengal,422341.07,Unemployed,Postgraduate,FALSE,Employment
U27,User27,33,LGBTQ+,Rajasthan,228590.15,Employed,Postgraduate,FALSE,Employment
U28,User28,56,Female,Uttar Pradesh,192147.22,Unemployed,Graduate,FALSE,Study
U29,User29,41,Female,Uttar Pradesh,215689.91,Unemployed,Secondary,TRUE,Study
U30,User30,54,Male,Rajasthan,271095.64,Unemployed,Graduate,FALSE,Employment
U31,User31,46,Female,Maharashtra,239011.34,Employed,Postgraduate,TRUE,Employment
U32,User32,21,Male,Tamil Nadu,186408.66,Employed,Secondary,FALSE,Study
U33,User33,35,LGBTQ+,Tamil Nadu,317642.07,Employed,Postgraduate,TRUE,Employment
U34,User34,19,Female,Maharashtra,336987.57,Employed,Postgraduate,FALSE,Health
U35,User35,23,Female,Uttar Pradesh,403321.75,Unemployed,Secondary,FALSE,Health
U36,User36,56,Female,West Bengal,173295.16,Unemployed,Graduate,FALSE,Employment
U37,User37,36,LGBTQ+,Uttar Pradesh,49161.49,Unemployed,Postgraduate,TRUE,Study
U38,User38,60,Male,Rajasthan,436557.39,Employed,Postgraduate,FALSE,Employment
U39,User39,47,Female,Maharashtra,268510.82,Employed,Postgraduate,TRUE,Health
U40,User40,26,Female,West Bengal,79492.01,Employed,Graduate,TRUE,Health
U41,User41,43,LGBTQ+,West Bengal,367135.63,Employed,Secondary,FALSE,Health
U42,User42,26,Female,Tamil Nadu,220348.08,Unemployed,Postgraduate,TRUE,Study
